review_id,affected_union_count,failure_reason,source_division_code,source_district_code,source_upazila_code,source_division_name_en,source_district_name_en,source_upazila_name_en,source_division_name_bn,source_district_name_bn,source_upazila_name_bn,candidate_1_summary,candidate_2_summary,candidate_3_summary,selected_candidate,manual_target_division_code,manual_target_district_code,manual_target_upazila_code,review_status,reviewed_by,notes
R-2-18-155,14,nuhil_district_name_no_match,2,18,155,Rajshahi,Chapainawabganj,Chapainawabganj Sadar,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,codes 50/5070/50700066 | EN: Rajshahi / Chapainababganj / Chapainawabganj Sadar | BN: রাজশাহী বিভাগ | reason: Within mapped HDX division (Rajshahi); Exact normalized English (or cross-field) upazila name match,codes 30/3026/30260062 | EN: Dhaka / Dhaka / Nawabganj | BN: ঢাকা বিভাগ | reason: Different HDX division than nuhil-mapped 50; Upazila name similarity only (weak — verify district),(no candidate),,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14.
R-4-33-250,14,nuhil_district_name_no_match,4,33,250,Barisal,Barisal,Bakerganj,বরিশাল,বরিশাল,বাকেরগঞ্জ,codes 10/1006/10060007 | EN: Barishal / Barishal / Bakerganj | BN: বরিশাল বিভাগ | reason: Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,(no candidate),(no candidate),,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14.
R-1-3-31,13,nuhil_upazila_name_no_match,1,3,31,Chattagram,Brahmanbaria,Bancharampur,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,বাঞ্ছারামপুর,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Bancharampur"" / ""বাঞ্ছারামপুর"": 0 HDX matches in district 2012. Unions: 13. | nuhil_missing_division; nuhil division id 1 missing; 13 unions. | nuhil_missing_division; nuhil division id 1 missing; 13 unions. | nuhil_missing_division; nuhil division id 1 missing; 13 unions. | nuhil_missing_division; nuhil division id 1 missing; 13 unions. | nuhil_missing_division; nuhil division id 1 missing; 13 unions. | nuhil_missing_division; nuhil division id 1 missing; 13 unions."
R-4-33-256,13,nuhil_district_name_no_match,4,33,256,Barisal,Barisal,Mehendiganj,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,codes 10/1006/10060062 | EN: Barishal / Barishal / Mehendiganj | BN: বরিশাল বিভাগ | reason: Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,(no candidate),(no candidate),,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13.
R-8-64-484,13,nuhil_district_name_no_match,8,64,484,Mymensingh,Netrokona,Kendua,ময়মনসিংহ,নেত্রকোণা,কেন্দুয়া,codes 45/4572/45720047 | EN: Mymensingh / Netrakona / Kendua | BN: ময়মনসিংহ বিভাগ | reason: Within mapped HDX division (Mymensingh); Exact normalized English (or cross-field) upazila name match,(no candidate),(no candidate),,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 13.
R-2-14-124,12,nuhil_upazila_name_no_match,2,14,124,Rajshahi,Bogura,Shariakandi,রাজশাহী,বগুড়া,সারিয়াকান্দি,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Shariakandi"" / ""সারিয়াকান্দি"": 0 HDX matches in district 5010. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Shariakandi"" / ""সারিয়াকান্দি"": 0 HDX matches in district 5010. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Shariakandi"" / ""সারিয়াকান্দি"": 0 HDX matches in district 5010. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Shariakandi"" / ""সারিয়াকান্দি"": 0 HDX matches in district 5010. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Shariakandi"" / ""সারিয়াকান্দি"": 0 HDX matches in district 5010. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Shariakandi"" / ""সারিয়াকান্দি"": 0 HDX matches in district 5010. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Shariakandi"" / ""সারিয়াকান্দি"": 0 HDX matches in district 5010. Unions: 12."
R-3-29-229,12,nuhil_upazila_name_no_match,3,29,229,Khulna,Jhenaidah,Moheshpur,খুলনা,ঝিনাইদহ,মহেশপুর,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Moheshpur"" / ""মহেশপুর"": 0 HDX matches in district 4044. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Moheshpur"" / ""মহেশপুর"": 0 HDX matches in district 4044. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Moheshpur"" / ""মহেশপুর"": 0 HDX matches in district 4044. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Moheshpur"" / ""মহেশপুর"": 0 HDX matches in district 4044. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Moheshpur"" / ""মহেশপুর"": 0 HDX matches in district 4044. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Moheshpur"" / ""মহেশপুর"": 0 HDX matches in district 4044. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Moheshpur"" / ""মহেশপুর"": 0 HDX matches in district 4044. Unions: 12."
R-6-40-312,12,nuhil_upazila_name_no_match,6,40,312,Dhaka,Narsingdi,Monohardi,ঢাকা,নরসিংদী,মনোহরদী,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Monohardi"" / ""মনোহরদী"": 0 HDX matches in district 3068. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Monohardi"" / ""মনোহরদী"": 0 HDX matches in district 3068. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Monohardi"" / ""মনোহরদী"": 0 HDX matches in district 3068. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Monohardi"" / ""মনোহরদী"": 0 HDX matches in district 3068. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Monohardi"" / ""মনোহরদী"": 0 HDX matches in district 3068. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Monohardi"" / ""মনোহরদী"": 0 HDX matches in district 3068. Unions: 12. | nuhil_upazila_name_no_match; Upazila ""Monohardi"" / ""মনোহরদী"": 0 HDX matches in district 3068. Unions: 12."
R-8-64-491,12,nuhil_district_name_no_match,8,64,491,Mymensingh,Netrokona,Netrokona Sadar,ময়মনসিংহ,নেত্রকোণা,নেত্রকোণা সদর,(no candidate),(no candidate),(no candidate),,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 12. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 12. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 12. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 12. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 12. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 12. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 12.
R-1-1-13,11,nuhil_upazila_name_no_match,1,1,13,Chattagram,Cumilla,Monohargonj,চট্টগ্রাম,কুমিল্লা,মনোহরগঞ্জ,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Monohargonj"" / ""মনোহরগঞ্জ"": 0 HDX matches in district 2019. Unions: 11."
R-1-9-86,11,nuhil_district_name_no_match,1,9,86,Chattagram,Coxsbazar,Ramu,চট্টগ্রাম,কক্সবাজার,রামু,codes 20/2022/20220066 | EN: Chattogram / Cox's Bazar / Ramu | BN: চট্টগ্রাম বিভাগ | reason: Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,(no candidate),(no candidate),,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 11. | nuhil_missing_division; nuhil division id 1 missing; 11 unions. | nuhil_missing_division; nuhil division id 1 missing; 11 unions. | nuhil_missing_division; nuhil division id 1 missing; 11 unions. | nuhil_missing_division; nuhil division id 1 missing; 11 unions. | nuhil_missing_division; nuhil division id 1 missing; 11 unions. | nuhil_missing_division; nuhil division id 1 missing; 11 unions.
R-2-14-123,11,nuhil_upazila_name_no_match,2,14,123,Rajshahi,Bogura,Bogra Sadar,রাজশাহী,বগুড়া,বগুড়া সদর,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Bogra Sadar"" / ""বগুড়া সদর"": 0 HDX matches in district 5010. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Bogra Sadar"" / ""বগুড়া সদর"": 0 HDX matches in district 5010. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Bogra Sadar"" / ""বগুড়া সদর"": 0 HDX matches in district 5010. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Bogra Sadar"" / ""বগুড়া সদর"": 0 HDX matches in district 5010. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Bogra Sadar"" / ""বগুড়া সদর"": 0 HDX matches in district 5010. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Bogra Sadar"" / ""বগুড়া সদর"": 0 HDX matches in district 5010. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Bogra Sadar"" / ""বগুড়া সদর"": 0 HDX matches in district 5010. Unions: 11."
R-3-20-174,11,nuhil_upazila_name_no_match,3,20,174,Khulna,Jashore,Chougachha,খুলনা,যশোর,চৌগাছা,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Chougachha"" / ""চৌগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Chougachha"" / ""চৌগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Chougachha"" / ""চৌগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Chougachha"" / ""চৌগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Chougachha"" / ""চৌগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Chougachha"" / ""চৌগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Chougachha"" / ""চৌগাছা"": 0 HDX matches in district 4041. Unions: 11."
R-3-20-175,11,nuhil_upazila_name_no_match,3,20,175,Khulna,Jashore,Jhikargacha,খুলনা,যশোর,ঝিকরগাছা,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Jhikargacha"" / ""ঝিকরগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Jhikargacha"" / ""ঝিকরগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Jhikargacha"" / ""ঝিকরগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Jhikargacha"" / ""ঝিকরগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Jhikargacha"" / ""ঝিকরগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Jhikargacha"" / ""ঝিকরগাছা"": 0 HDX matches in district 4041. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Jhikargacha"" / ""ঝিকরগাছা"": 0 HDX matches in district 4041. Unions: 11."
R-3-21-179,11,nuhil_upazila_name_no_match,3,21,179,Khulna,Satkhira,Assasuni,খুলনা,সাতক্ষীরা,আশাশুনি,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Assasuni"" / ""আশাশুনি"": 0 HDX matches in district 4087. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Assasuni"" / ""আশাশুনি"": 0 HDX matches in district 4087. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Assasuni"" / ""আশাশুনি"": 0 HDX matches in district 4087. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Assasuni"" / ""আশাশুনি"": 0 HDX matches in district 4087. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Assasuni"" / ""আশাশুনি"": 0 HDX matches in district 4087. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Assasuni"" / ""আশাশুনি"": 0 HDX matches in district 4087. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Assasuni"" / ""আশাশুনি"": 0 HDX matches in district 4087. Unions: 11."
R-5-37-285,11,nuhil_upazila_name_no_match,5,37,285,Sylhet,Moulvibazar,Barlekha,সিলেট,মৌলভীবাজার,বড়লেখা,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Barlekha"" / ""বড়লেখা"": 0 HDX matches in district 6058. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Barlekha"" / ""বড়লেখা"": 0 HDX matches in district 6058. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Barlekha"" / ""বড়লেখা"": 0 HDX matches in district 6058. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Barlekha"" / ""বড়লেখা"": 0 HDX matches in district 6058. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Barlekha"" / ""বড়লেখা"": 0 HDX matches in district 6058. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Barlekha"" / ""বড়লেখা"": 0 HDX matches in district 6058. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Barlekha"" / ""বড়লেখা"": 0 HDX matches in district 6058. Unions: 11."
R-6-45-353,11,nuhil_upazila_name_no_match,6,45,353,Dhaka,Kishoreganj,Karimgonj,ঢাকা,কিশোরগঞ্জ,করিমগঞ্জ,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Karimgonj"" / ""করিমগঞ্জ"": 0 HDX matches in district 3048. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Karimgonj"" / ""করিমগঞ্জ"": 0 HDX matches in district 3048. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Karimgonj"" / ""করিমগঞ্জ"": 0 HDX matches in district 3048. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Karimgonj"" / ""করিমগঞ্জ"": 0 HDX matches in district 3048. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Karimgonj"" / ""করিমগঞ্জ"": 0 HDX matches in district 3048. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Karimgonj"" / ""করিমগঞ্জ"": 0 HDX matches in district 3048. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Karimgonj"" / ""করিমগঞ্জ"": 0 HDX matches in district 3048. Unions: 11."
R-6-46-364,11,nuhil_upazila_name_no_match,6,46,364,Dhaka,Manikganj,Singiar,ঢাকা,মানিকগঞ্জ,সিংগাইর,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Singiar"" / ""সিংগাইর"": 0 HDX matches in district 3056. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Singiar"" / ""সিংগাইর"": 0 HDX matches in district 3056. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Singiar"" / ""সিংগাইর"": 0 HDX matches in district 3056. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Singiar"" / ""সিংগাইর"": 0 HDX matches in district 3056. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Singiar"" / ""সিংগাইর"": 0 HDX matches in district 3056. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Singiar"" / ""সিংগাইর"": 0 HDX matches in district 3056. Unions: 11. | nuhil_upazila_name_no_match; Upazila ""Singiar"" / ""সিংগাইর"": 0 HDX matches in district 3056. Unions: 11."
