reason,detail,payload
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""318"",""upazilaId"":""31"",""nameEn"":""Saifullyakandi"",""nameBn"":""ছয়ফুল্লাকান্দি""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""319"",""upazilaId"":""31"",""nameEn"":""Bancharampur"",""nameBn"":""বাঞ্ছারামপুর""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""320"",""upazilaId"":""31"",""nameEn"":""Ayabpur"",""nameBn"":""আইয়ুবপুর""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""321"",""upazilaId"":""31"",""nameEn"":""Fardabad"",""nameBn"":""ফরদাবাদ""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""322"",""upazilaId"":""31"",""nameEn"":""Rupushdi"",""nameBn"":""রুপসদী পশ্চিম""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""323"",""upazilaId"":""31"",""nameEn"":""Salimabad"",""nameBn"":""ছলিমাবাদ""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""324"",""upazilaId"":""31"",""nameEn"":""Ujanchar"",""nameBn"":""উজানচর পূর্ব""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""325"",""upazilaId"":""31"",""nameEn"":""Manikpur"",""nameBn"":""মানিকপুর""}"
nuhil_upazila_name_no_match,Baghaichari,"{""id"":""351"",""upazilaId"":""36"",""nameEn"":""Sajek"",""nameBn"":""সাজেক""}"
nuhil_upazila_name_no_match,Baghaichari,"{""id"":""352"",""upazilaId"":""36"",""nameEn"":""Amtali"",""nameBn"":""আমতলী""}"
nuhil_upazila_name_no_match,Baghaichari,"{""id"":""353"",""upazilaId"":""36"",""nameEn"":""Bongoltali"",""nameBn"":""বঙ্গলতলী""}"
nuhil_upazila_name_no_match,Baghaichari,"{""id"":""354"",""upazilaId"":""36"",""nameEn"":""Rupokari"",""nameBn"":""রুপকারী""}"
nuhil_upazila_name_no_match,Baghaichari,"{""id"":""355"",""upazilaId"":""36"",""nameEn"":""Marisha"",""nameBn"":""মারিশ্যা""}"
nuhil_upazila_name_no_match,Baghaichari,"{""id"":""356"",""upazilaId"":""36"",""nameEn"":""Khedarmara"",""nameBn"":""খেদারমারা""}"
nuhil_upazila_name_no_match,Baghaichari,"{""id"":""357"",""upazilaId"":""36"",""nameEn"":""Sharoyatali"",""nameBn"":""সারোয়াতলী""}"
nuhil_upazila_name_no_match,Baghaichari,"{""id"":""358"",""upazilaId"":""36"",""nameEn"":""Baghaichari"",""nameBn"":""বাঘাইছড়ি""}"
nuhil_upazila_name_no_match,Belaichari,"{""id"":""374"",""upazilaId"":""40"",""nameEn"":""Kengrachari"",""nameBn"":""কেংড়াছড়ি""}"
nuhil_upazila_name_no_match,Belaichari,"{""id"":""375"",""upazilaId"":""40"",""nameEn"":""Belaichari"",""nameBn"":""বিলাইছড়ি""}"
nuhil_upazila_name_no_match,Belaichari,"{""id"":""376"",""upazilaId"":""40"",""nameEn"":""Farua"",""nameBn"":""ফারুয়া""}"
nuhil_upazila_name_no_match,Juraichari,"{""id"":""377"",""upazilaId"":""41"",""nameEn"":""Juraichari"",""nameBn"":""জুরাছড়ি""}"
nuhil_upazila_name_no_match,Juraichari,"{""id"":""378"",""upazilaId"":""41"",""nameEn"":""Banajogichara"",""nameBn"":""বনযোগীছড়া""}"
nuhil_upazila_name_no_match,Juraichari,"{""id"":""379"",""upazilaId"":""41"",""nameEn"":""Moidong"",""nameBn"":""মৈদং""}"
nuhil_upazila_name_no_match,Juraichari,"{""id"":""380"",""upazilaId"":""41"",""nameEn"":""Dumdumya"",""nameBn"":""দুমদুম্যা""}"
nuhil_upazila_name_no_match,Hatia,"{""id"":""422"",""upazilaId"":""46"",""nameEn"":""Sukhchar"",""nameBn"":""সুখচর""}"
nuhil_upazila_name_no_match,Hatia,"{""id"":""423"",""upazilaId"":""46"",""nameEn"":""Nolchira"",""nameBn"":""নলচিরা""}"
nuhil_upazila_name_no_match,Hatia,"{""id"":""424"",""upazilaId"":""46"",""nameEn"":""Charishwar"",""nameBn"":""চরঈশ্বর""}"
nuhil_upazila_name_no_match,Hatia,"{""id"":""425"",""upazilaId"":""46"",""nameEn"":""Charking"",""nameBn"":""চরকিং""}"
nuhil_upazila_name_no_match,Hatia,"{""id"":""426"",""upazilaId"":""46"",""nameEn"":""Tomoroddi"",""nameBn"":""তমরদ্দি""}"
nuhil_upazila_name_no_match,Hatia,"{""id"":""427"",""upazilaId"":""46"",""nameEn"":""Sonadiya"",""nameBn"":""সোনাদিয়া""}"
nuhil_upazila_name_no_match,Hatia,"{""id"":""428"",""upazilaId"":""46"",""nameEn"":""Burirchar"",""nameBn"":""বুড়িরচর""}"
nuhil_upazila_name_no_match,Hatia,"{""id"":""429"",""upazilaId"":""46"",""nameEn"":""Jahajmara"",""nameBn"":""জাহাজমারা""}"
nuhil_upazila_name_no_match,Hatia,"{""id"":""430"",""upazilaId"":""46"",""nameEn"":""Nijhumdwi"",""nameBn"":""নিঝুমদ্বীপ""}"
nuhil_upazila_name_no_match,Senbug,"{""id"":""446"",""upazilaId"":""49"",""nameEn"":""Chhatarpaia"",""nameBn"":""ছাতারপাইয়া""}"
nuhil_upazila_name_no_match,Senbug,"{""id"":""447"",""upazilaId"":""49"",""nameEn"":""Kesharpar"",""nameBn"":""কেশরপাড়া""}"
nuhil_upazila_name_no_match,Senbug,"{""id"":""448"",""upazilaId"":""49"",""nameEn"":""Dumurua"",""nameBn"":""ডুমুরুয়া""}"
nuhil_upazila_name_no_match,Senbug,"{""id"":""449"",""upazilaId"":""49"",""nameEn"":""Kadra"",""nameBn"":""কাদরা""}"
nuhil_upazila_name_no_match,Senbug,"{""id"":""450"",""upazilaId"":""49"",""nameEn"":""Arjuntala"",""nameBn"":""অর্জুনতলা""}"
nuhil_upazila_name_no_match,Senbug,"{""id"":""451"",""upazilaId"":""49"",""nameEn"":""Kabilpur"",""nameBn"":""কাবিলপুর""}"
nuhil_upazila_name_no_match,Senbug,"{""id"":""452"",""upazilaId"":""49"",""nameEn"":""Mohammadpur"",""nameBn"":""মোহাম্মদপুর""}"
nuhil_upazila_name_no_match,Senbug,"{""id"":""453"",""upazilaId"":""49"",""nameEn"":""Nabipur"",""nameBn"":""নবীপুর""}"
nuhil_upazila_name_no_match,Senbug,"{""id"":""454"",""upazilaId"":""49"",""nameEn"":""Bejbagh"",""nameBn"":""বিজবাগ""}"
nuhil_upazila_name_no_match,Sonaimori,"{""id"":""464"",""upazilaId"":""51"",""nameEn"":""Joyag"",""nameBn"":""জয়াগ""}"
nuhil_upazila_name_no_match,Sonaimori,"{""id"":""465"",""upazilaId"":""51"",""nameEn"":""Nodona"",""nameBn"":""নদনা""}"
nuhil_upazila_name_no_match,Sonaimori,"{""id"":""466"",""upazilaId"":""51"",""nameEn"":""Chashirhat"",""nameBn"":""চাষীরহাট""}"
nuhil_upazila_name_no_match,Sonaimori,"{""id"":""467"",""upazilaId"":""51"",""nameEn"":""Barogaon"",""nameBn"":""বারগাঁও""}"
nuhil_upazila_name_no_match,Sonaimori,"{""id"":""468"",""upazilaId"":""51"",""nameEn"":""Ambarnagor"",""nameBn"":""অম্বরনগর""}"
nuhil_upazila_name_no_match,Sonaimori,"{""id"":""469"",""upazilaId"":""51"",""nameEn"":""Nateshwar"",""nameBn"":""নাটেশ্বর""}"
nuhil_upazila_name_no_match,Sonaimori,"{""id"":""470"",""upazilaId"":""51"",""nameEn"":""Bajra"",""nameBn"":""বজরা""}"
nuhil_upazila_name_no_match,Sonaimori,"{""id"":""471"",""upazilaId"":""51"",""nameEn"":""Sonapur"",""nameBn"":""সোনাপুর""}"
nuhil_upazila_name_no_match,Sonaimori,"{""id"":""472"",""upazilaId"":""51"",""nameEn"":""Deoti"",""nameBn"":""দেওটি""}"
nuhil_upazila_name_no_match,Sonaimori,"{""id"":""473"",""upazilaId"":""51"",""nameEn"":""Amishapara"",""nameBn"":""আমিশাপাড়া""}"
nuhil_upazila_name_no_match,Matlab South,"{""id"":""516"",""upazilaId"":""56"",""nameEn"":""Nayergaon (North)"",""nameBn"":""নায়েরগাঁও (উত্তর)""}"
nuhil_upazila_name_no_match,Matlab South,"{""id"":""517"",""upazilaId"":""56"",""nameEn"":""Nayergaon (South)"",""nameBn"":""নায়েরগাঁও (দক্ষিন)""}"
nuhil_upazila_name_no_match,Matlab South,"{""id"":""518"",""upazilaId"":""56"",""nameEn"":""Khadergaon"",""nameBn"":""খাদেরগাঁও""}"
nuhil_upazila_name_no_match,Matlab South,"{""id"":""519"",""upazilaId"":""56"",""nameEn"":""Narayanpur"",""nameBn"":""নারায়নপুর""}"
nuhil_upazila_name_no_match,Matlab South,"{""id"":""520"",""upazilaId"":""56"",""nameEn"":""Upadi (South)"",""nameBn"":""উপাদী (দক্ষিণ)""}"
nuhil_upazila_name_no_match,Matlab South,"{""id"":""521"",""upazilaId"":""56"",""nameEn"":""Upadi (North)"",""nameBn"":""উপাদী (উত্তর)""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""533"",""upazilaId"":""58"",""nameEn"":""Satnal"",""nameBn"":""ষাটনল""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""534"",""upazilaId"":""58"",""nameEn"":""Banganbari"",""nameBn"":""বাগানবাড়ী""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""535"",""upazilaId"":""58"",""nameEn"":""Sadullapur"",""nameBn"":""সাদুল্ল্যাপুর""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""536"",""upazilaId"":""58"",""nameEn"":""Durgapur"",""nameBn"":""দূর্গাপুর""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""537"",""upazilaId"":""58"",""nameEn"":""Kalakanda"",""nameBn"":""কালাকান্দা""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""538"",""upazilaId"":""58"",""nameEn"":""Mohanpur"",""nameBn"":""মোহনপুর""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""539"",""upazilaId"":""58"",""nameEn"":""Eklaspur"",""nameBn"":""এখলাছপুর""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""540"",""upazilaId"":""58"",""nameEn"":""Jahirabad"",""nameBn"":""জহিরাবাদ""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""541"",""upazilaId"":""58"",""nameEn"":""Fatehpur (East)"",""nameBn"":""ফতেহপুর (পূর্ব)""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""542"",""upazilaId"":""58"",""nameEn"":""Fatehpur (West)"",""nameBn"":""ফতেহপুর (পশ্চিম)""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""543"",""upazilaId"":""58"",""nameEn"":""Farajikandi"",""nameBn"":""ফরাজীকান্দি""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""544"",""upazilaId"":""58"",""nameEn"":""Islamabad"",""nameBn"":""ইসলামাবাদ""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""545"",""upazilaId"":""58"",""nameEn"":""Sultanabad"",""nameBn"":""সুলতানাবাদ""}"
nuhil_upazila_name_no_match,Matlab North,"{""id"":""546"",""upazilaId"":""58"",""nameEn"":""Gazra"",""nameBn"":""গজরা""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""547"",""upazilaId"":""59"",""nameEn"":""Balithuba (West)"",""nameBn"":""বালিথুবা (পশ্চিম)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""548"",""upazilaId"":""59"",""nameEn"":""Balithuba (East)"",""nameBn"":""বালিথুবা (পূর্ব)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""549"",""upazilaId"":""59"",""nameEn"":""Subidpur (East)"",""nameBn"":""সুবিদপুর (পূর্ব)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""550"",""upazilaId"":""59"",""nameEn"":""Subidpur (West)"",""nameBn"":""সুবিদপুর (পশ্চিম)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""551"",""upazilaId"":""59"",""nameEn"":""Gupti (West)"",""nameBn"":""গুপ্তি (পশ্চিম)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""552"",""upazilaId"":""59"",""nameEn"":""Gupti (East)"",""nameBn"":""গুপ্তি (পূর্ব)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""553"",""upazilaId"":""59"",""nameEn"":""Paikpara (North)"",""nameBn"":""পাইকপাড়া (উত্তর)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""554"",""upazilaId"":""59"",""nameEn"":""Paikpara (South)"",""nameBn"":""পাইকপাড়া (দক্ষিণ)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""555"",""upazilaId"":""59"",""nameEn"":""Gobindapur (North)"",""nameBn"":""গবিন্দপুর (উত্তর)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""556"",""upazilaId"":""59"",""nameEn"":""Gobindapur (South)"",""nameBn"":""গবিন্দপুর (দক্ষিণ)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""557"",""upazilaId"":""59"",""nameEn"":""Chardukhia (East)"",""nameBn"":""চরদুখিয়া (পূর্ব)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""558"",""upazilaId"":""59"",""nameEn"":""Chardukhia (West)"",""nameBn"":""চরদুঃখিয়া (পশ্চিম)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""559"",""upazilaId"":""59"",""nameEn"":""Faridgonj (South)"",""nameBn"":""ফরিদ্গঞ্জ (দক্ষিণ)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""560"",""upazilaId"":""59"",""nameEn"":""Rupsha (South)"",""nameBn"":""রুপসা (দক্ষিণ)""}"
nuhil_upazila_name_no_match,Faridgonj,"{""id"":""561"",""upazilaId"":""59"",""nameEn"":""Rupsha (North)"",""nameBn"":""রুপসা (উত্তর)""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""642"",""upazilaId"":""67"",""nameEn"":""Korerhat"",""nameBn"":""করেরহাট""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""643"",""upazilaId"":""67"",""nameEn"":""Hinguli"",""nameBn"":""হিংগুলি""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""644"",""upazilaId"":""67"",""nameEn"":""Jorarganj"",""nameBn"":""জোরারগঞ্জ""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""645"",""upazilaId"":""67"",""nameEn"":""Dhoom"",""nameBn"":""ধুম""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""646"",""upazilaId"":""67"",""nameEn"":""Osmanpur"",""nameBn"":""ওসমানপুর""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""647"",""upazilaId"":""67"",""nameEn"":""Ichakhali"",""nameBn"":""ইছাখালী""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""648"",""upazilaId"":""67"",""nameEn"":""Katachhara"",""nameBn"":""কাটাছরা""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""649"",""upazilaId"":""67"",""nameEn"":""Durgapur"",""nameBn"":""দূর্গাপুর""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""650"",""upazilaId"":""67"",""nameEn"":""Mirsharai"",""nameBn"":""মীরসরাই""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""651"",""upazilaId"":""67"",""nameEn"":""Mithanala"",""nameBn"":""মিঠানালা""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""652"",""upazilaId"":""67"",""nameEn"":""Maghadia"",""nameBn"":""মঘাদিয়া""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""653"",""upazilaId"":""67"",""nameEn"":""Khaiyachhara"",""nameBn"":""খৈয়াছরা""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""654"",""upazilaId"":""67"",""nameEn"":""Mayani"",""nameBn"":""মায়ানী""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""655"",""upazilaId"":""67"",""nameEn"":""Haitkandi"",""nameBn"":""হাইতকান্দি""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""656"",""upazilaId"":""67"",""nameEn"":""Wahedpur"",""nameBn"":""ওয়াহেদপুর""}"
nuhil_upazila_name_no_match,Mirsharai,"{""id"":""657"",""upazilaId"":""67"",""nameEn"":""Saherkhali"",""nameBn"":""সাহেরখালী""}"
nuhil_upazila_name_no_match,Karnafuli,"{""id"":""810"",""upazilaId"":""79"",""nameEn"":""Char Patharghata"",""nameBn"":""চর পাথরঘাটা""}"
nuhil_upazila_name_no_match,Karnafuli,"{""id"":""811"",""upazilaId"":""79"",""nameEn"":""Char Lakshya"",""nameBn"":""চর লক্ষ্যা""}"
nuhil_upazila_name_no_match,Karnafuli,"{""id"":""812"",""upazilaId"":""79"",""nameEn"":""Juldha"",""nameBn"":""জুলধা""}"
nuhil_upazila_name_no_match,Karnafuli,"{""id"":""813"",""upazilaId"":""79"",""nameEn"":""Barauthan"",""nameBn"":""বড় উঠান""}"
nuhil_upazila_name_no_match,Karnafuli,"{""id"":""814"",""upazilaId"":""79"",""nameEn"":""Sikalbaha"",""nameBn"":""শিকলবাহা""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""815"",""upazilaId"":""80"",""nameEn"":""Islamabad"",""nameBn"":""ইসলামাবাদ""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""816"",""upazilaId"":""80"",""nameEn"":""Islampur"",""nameBn"":""ইসলামপুর""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""817"",""upazilaId"":""80"",""nameEn"":""Pokkhali"",""nameBn"":""পোকখালী""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""818"",""upazilaId"":""80"",""nameEn"":""Eidgaon"",""nameBn"":""ঈদগাঁও""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""819"",""upazilaId"":""80"",""nameEn"":""Jalalabad"",""nameBn"":""জালালাবাদ""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""820"",""upazilaId"":""80"",""nameEn"":""Chowfaldandi"",""nameBn"":""চৌফলদন্ডী""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""821"",""upazilaId"":""80"",""nameEn"":""Varuakhali"",""nameBn"":""ভারুয়াখালী""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""822"",""upazilaId"":""80"",""nameEn"":""Pmkhali"",""nameBn"":""পিএমখালী""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""823"",""upazilaId"":""80"",""nameEn"":""Khurushkhul"",""nameBn"":""খুরুশকুল""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""824"",""upazilaId"":""80"",""nameEn"":""Jhilongjha"",""nameBn"":""ঝিলংঝা""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""825"",""upazilaId"":""81"",""nameEn"":""Kakhara"",""nameBn"":""কাকারা""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""826"",""upazilaId"":""81"",""nameEn"":""Kaiar Bil"",""nameBn"":""কাইয়ার বিল""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""827"",""upazilaId"":""81"",""nameEn"":""Konakhali"",""nameBn"":""কোনাখালী""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""828"",""upazilaId"":""81"",""nameEn"":""Khuntakhali"",""nameBn"":""খুটাখালী""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""829"",""upazilaId"":""81"",""nameEn"":""Chiringa"",""nameBn"":""চিরিঙ্গা""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""830"",""upazilaId"":""81"",""nameEn"":""Demusia"",""nameBn"":""ঢেমুশিয়া""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""831"",""upazilaId"":""81"",""nameEn"":""Dulahazara"",""nameBn"":""ডুলাহাজারা""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""832"",""upazilaId"":""81"",""nameEn"":""Paschim Bara Bheola"",""nameBn"":""পশ্চিম বড় ভেওলা""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""833"",""upazilaId"":""81"",""nameEn"":""Badarkhali"",""nameBn"":""বদরখালী""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""834"",""upazilaId"":""81"",""nameEn"":""Bamobil Chari"",""nameBn"":""বামু বিলছড়ি""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""835"",""upazilaId"":""81"",""nameEn"":""Baraitali"",""nameBn"":""বড়ইতলী""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""836"",""upazilaId"":""81"",""nameEn"":""Bheola Manik Char"",""nameBn"":""ভেওলা মানিক চর""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""837"",""upazilaId"":""81"",""nameEn"":""Saharbil"",""nameBn"":""শাহারবিল""}"
nuhil_district_name_no_match,Coxsbazar,"{""id"":""838"",""upazilaId"":""81"",""nameEn"":""Surajpur Manikpur"",""nameBn"":""সুরজপুর মানিকপুর""}"
